Year,Quarter,Month,Day,COUNTRY,CUSTOMER_ID,CUSTOMER_UNIQUE_KEY,Female %,Full Name,FIRST_NAME,GENDER,LAST_NAME,Male %,profit,Repeat Purchase Rate,Total Female Customers,Total Male Customers
,,,,Australia,11912,AW00011912,100,Rachael Sai,Rachael,Female,Sai,,4793,100,1,
,,,,Australia,11915,AW00011915,,Philip Carlson,Philip,Male,Carlson,100,4870,100,,1
,,,,Australia,12248,AW00012248,,Devin Taylor,Devin,Male,Taylor,100,1733,100,,1
,,,,France,11410,AW00011410,,Maurice Goel,Maurice,Male,Goel,100,4409,100,,1
,,,,France,11551,AW00011551,,Shannon Alvarez,Shannon,Male,Alvarez,100,12,,,1
,,,,France,11581,AW00011581,100,Cindy Jordan,Cindy,Female,Jordan,,203,100,1,
,,,,Germany,11562,AW00011562,,Jarrod Gonzalez,Jarrod,Male,Gonzalez,100,123,100,,1
,,,,Germany,20062,AW00020062,,Russell Carson,Russell,Male,Carson,100,1900,100,,1
,,,,Germany,28543,AW00028543,,Roger Ye,Roger,Male,Ye,100,103,100,,1
,,,,United Kingdom,12123,AW00012123,,Wesley Liang,Wesley,Male,Liang,100,5004,100,,1
,,,,United States,11257,AW00011257,100,Jacqueline Powell,Jacqueline,Female,Powell,,4164,100,1,
,,,,United States,11775,AW00011775,100,Sierra Roberts,Sierra,Female,Roberts,,3810,100,1,
,,,,United States,12188,AW00012188,100,Ashley Thomas,Ashley,Female,Thomas,,3880,100,1,
,,,,United States,13052,AW00013052,,Jared Morris,Jared,Male,Morris,100,20,100,,1
,,,,United States,13417,AW00013417,,Ian Cox,Ian,Male,Cox,100,2472,100,,1
,,,,United States,25441,AW00025441,100,Isabella Torres,Isabella,Female,Torres,,93,100,1,
1916,Qtr 1,February,10,Germany,12725,AW00012725,100,Gabrielle James,Gabrielle,Female,James,,79,100,1,
1917,Qtr 1,February,9,France,16455,AW00016455,100,Deb Moreno,Deb,Female,Moreno,,19,100,1,
1917,Qtr 2,June,5,Germany,14841,AW00014841,,Franklin Pal,Franklin,Male,Pal,100,54,100,,1
1917,Qtr 3,September,20,Germany,18034,AW00018034,,Ethan Robinson,Ethan,Male,Robinson,100,88,100,,1
1918,Qtr 1,February,11,United Kingdom,14992,AW00014992,,Dale Andersen,Dale,Male,Andersen,100,113,100,,1
1918,Qtr 4,November,8,France,25527,AW00025527,,Robert Johnson,Robert,Male,Johnson,100,4,100,,1
1919,Qtr 1,February,14,France,16471,AW00016471,100,Vanessa Hayes,Vanessa,Female,Hayes,,47,100,1,
1919,Qtr 1,March,10,United Kingdom,16325,AW00016325,100,Emma Williams,Emma,Female,Williams,,107,100,1,
1920,Qtr 4,November,14,France,28743,AW00028743,100,Kelly Wood,Kelly,Female,Wood,,53,100,1,
1922,Qtr 1,January,2,France,24713,AW00024713,,Jeremy Brooks,Jeremy,Male,Brooks,100,4,100,,1
1922,Qtr 2,April,10,Germany,15628,AW00015628,100,Brianna Sandberg,Brianna,Female,Sandberg,,88,100,1,
1922,Qtr 2,June,6,Germany,17640,AW00017640,100,Haley Allen,Haley,Female,Allen,,16,,1,
1923,Qtr 2,April,14,France,21684,AW00021684,100,Mariah Bennett,Mariah,Female,Bennett,,85,100,1,
1923,Qtr 3,August,16,United Kingdom,25325,AW00025325,,Wyatt Parker,Wyatt,Male,Parker,100,4,100,,1
1923,Qtr 4,November,16,United States,26314,AW00026314,,Angel Murphy,Angel,Male,Murphy,100,56,100,,1
1924,Qtr 4,October,5,United Kingdom,24035,AW00024035,100,Jaclyn Wu,Jaclyn,Female,Wu,,9,100,1,
1924,Qtr 4,December,3,United States,25416,AW00025416,,Jack Coleman,Jack,Male,Coleman,100,25,100,,1
1925,Qtr 1,February,23,United Kingdom,16563,AW00016563,100,Mackenzie Baker,Mackenzie,Female,Baker,,90,100,1,
1925,Qtr 3,August,25,Germany,15074,AW00015074,100,Elizabeth Perry,Elizabeth,Female,Perry,,54,100,1,
1926,Qtr 1,January,10,United Kingdom,19430,AW00019430,100,Sharon Goel,Sharon,Female,Goel,,88,100,1,
1926,Qtr 1,March,15,United Kingdom,15075,AW00015075,100,Alexa Kelly,Alexa,Female,Kelly,,94,100,1,
1926,Qtr 3,September,7,United States,23190,AW00023190,,Nathaniel Ramirez,Nathaniel,Male,Ramirez,100,9,100,,1
1927,Qtr 2,May,10,United States,15519,AW00015519,100,Jennifer Evans,Jennifer,Female,Evans,,14,,1,
1927,Qtr 3,August,4,Germany,22453,AW00022453,,Dakota Long,Dakota,Male,Long,100,72,100,,1
1927,Qtr 3,August,13,Germany,16568,AW00016568,100,Caroline Coleman,Caroline,Female,Coleman,,91,100,1,
1927,Qtr 4,December,1,United Kingdom,20866,AW00020866,,David Jones,David,Male,Jones,100,3178,100,,1
1928,Qtr 1,March,19,Germany,20865,AW00020865,,Luis Ross,Luis,Male,Ross,100,22,100,,1
1928,Qtr 2,April,9,France,14166,AW00014166,100,Elizabeth Jenkins,Elizabeth,Female,Jenkins,,68,100,1,
